,name,description,price,area,type,subway,floor,year,region,object,dist,lease_amount
102,"Продажа помещения 71.70 кв.м. ВАО ул. Первомайская, 74","Арендный бизнес. Арендатор- алкомаркет ""Бристоль"" ДДА на 5 лет от 10.08.2017 г. МАП 420 000 рублей в месяц, индексация 5 %Помещение в частной собственности физического лица. Вся площадь на  1-м этаже. Детальная информация по телефону. Предложите свою цену.",761 506,71.70 м2,Продажа,Первомайская,1,1968,ВАО,помещение,,420 000 руб.
103,"Продажа помещения 205.10 кв.м. ЦАО пер. Тишинский Б., 38","Старт продаж! Помещение стрит ритейл в новом комплексе апартаментов.Блок 1,4. Любое назначение, без ограничений. Срок ввода в эксплуатацию - 3 кв. 2020г . Свободная планировка, потолки 4,5 м, витринные окна, отдельная входная группа. Инвестиционная цена. В продаже есть другие площади от 31 до 450 м2. Возможно объединить смежные блоки.",293 998,205.10 м2,Продажа,Белорусская,1,2018,ЦАО,помещение,,
104,"Продажа помещения 256.30 кв.м. ЮЗАО ул. Новочерёмушкинская, 58","Помещение стрит ритейл на первом этаже комплекса апартаментов  на углу улиц Новочеремушкинской и Гарибальди. Помещение на первой линии домов. Зальная планировка, помещение правильной п формы. Большие витринные окна. Подключены все коммуникации - горячее и холодное водоснабжение, отопление, канализация. Паркинг наземный.От выхода из станции метро «Новые Черемушки» 600 метров. Целиком комплекс будет готов в первом квартале 2018 года. Возможен долгосрочный договор, помещения выделено по кадастру.",394 850,256.30 м2,Продажа,Новые черемушки,1,2018,ЮЗАО,помещение,5 мин.,
105,"Продажа помещения 98.80 кв.м. ЦАО ул. Селезневская, 4","Торговое помещение (стрит ритейл) на 1-м этаже нового 10-ти эт.  кирпичного жилого дома.Можно разделить на два  отдельных блока. Отдельная входная группа с фасада в каждый блок + дополнительные входы со двора и торца.Планировка—открытая (свободная), высота потолков на 1 этаже—4,7м, в подвале—до 4,1м! Помещения после полного капитального ремонта с заменой всех коммуникаций, каждый блок со своим санузлом и приборами учёта электричества.Все городские коммуникации, перекрытия—ж/б .Электричество-большое количество (по запросу) .Помещения подготовлены под чистовую отделку.Свободное использование, обременений нет .Парковка вдоль фасада и на Селезнёвской улице. На схеме обозначены номерами 8+9.",1 143 725,98.80 м2,Продажа,Новослободская,1,2015,ЦАО,помещение,1 мин.,
106,"Продажа помещения 326.30 кв.м. ЮЗАО ул. Новочерёмушкинская, 58","Помещение стрит ритейл на первом этаже комплекса апартаментов  на углу улиц Новочеремушкинской и Гарибальди. Помещение на первой линии домов. Зальная планировка, помещение правильной п формы. Большие витринные окна. Подключены все коммуникации - горячее и холодное водоснабжение, отопление, канализация. Паркинг наземный.От выхода из станции метро «Новые Черемушки» 600 метров. Целиком комплекс будет готов в первом квартале 2018 года. Возможен долгосрочный договор, помещения выделено по кадастру.",393 809,326.30 м2,Продажа,Новые черемушки,1,2018,ЮЗАО,помещение,5 мин.,
107,"Продажа помещения 273.50 кв.м. ЦАО ул. Селезневская, 4","Торговое помещение (стрит ритейл) на 1-м этаже (196,3 м2) и подвале (77 м2) нового 10-ти эт.  кирпичного жилого дома.Сданы в аренду.  Отдельная входная группа с фасада в каждый блок + дополнительные входы со двора и торца.Планировка—открытая (свободная), высота потолков на 1 этаже—4,7м, в подвале—до 4,1м! Помещения после полного капитального ремонта с заменой всех коммуникаций, каждый блок со своим санузлом и приборами учёта электричества.Все городские коммуникации, перекрытия—ж/б .Электричество-большое количество (по запросу) .Помещения подготовлены под чистовую отделку.Свободное использование, обременений нет .Парковка вдоль фасада и на Селезнёвской улице. На схеме обозначены номерами 4. Возможна продажа блоков от 31 м2.",636 197,273.50 м2,Продажа,Новослободская,1,2015,ЦАО,помещение,1 мин.,1 410 000 руб.
108,"Продажа помещения 1423 кв.м. ЦАО пер. Стремянный, 26","Предлагается в продажу арендный бизнес на втором этаже 1220,3 кв. м. и четвертом этаже 203,5 кв.м.:арендатор медицинская клиника с договором аренды до 2026 года.Первая линия домов, интенсивный пешеходный и автомобильный трафик.МАП 2 300 000 руб. ГАП 27 600 000 руб. без учета индексации.",153 900,1423.00 м2,Продажа,Серпуховская,2,до 1917,ЦАО,помещение,2 мин.,2 300 000 руб.
109,"Продажа помещения 404 кв.м. СВАО ул. Менжинского, 23 стр 1","Продажа готового арендного бизнеса.Общая площадь:  404 м2Распределение площади по этажам: вся площадь на 1 этажеДополнительная информация:  помещение встроенно-пристроенное, 1 линия домов, большие окна, отдельный вход. 50 кВт.Арендатор: 339,1 м2 -сетевой продуктовый магазин ""ВкусВилл"".  ДДА от 18.03.18 г. МАП 1 048 000 рублей.140 м2 - мелкие арендаторы: 60 м2 - бытовые услуги. ДА от 01.06.17 на 11 мес. МАП 60 000 рублей с 01.10.17.11,9 м2 - офис. ДА от 10.04.17 на 11 мес. МАП 50 000 рублейПродажа: 636 000 рублей за м2",636 000,404.00 м2,Продажа,Свиблово,1,1978,СВАО,помещение,,1 158 000 руб.
110,"Продажа помещения 18.10 кв.м. САО пр-кт Ленинградский, 4/2","Первые торговые помещения от выхода из метро. Помещение площадью 18.1 м2 на 1 этаже кирпичного 11-ти этажного дома. Арендатор - Уникальная сеть кофеин быстрого обслуживания с фиксированной стоимостью продукции.Долгосрочный договор аренды на 3 года, арендная плата 310 000 рублей в месяц, УСН, коммунальные платежи и электричество оплачиваются арендатором отдельноСхема сделки: договор купли-продажи недвижимости (ДКПН) Прямая видимость с Ленинградского проспекта.Отдельные входные группы. Планировка свободная, высота потолков—4 м. Помещение после полного капремонта с заменойвсех коммуникаций, большие витрины и входные группы с фасада—состояние нового объекта. Все городские коммуникации; электричество-0,33кВт/м2, с санузлом.  Высокий рекламный потенциал, вывески на фасаде. Любое свободное использование-ограничений нет.",2 049 724,18.10 м2,Продажа,Белорусская,1,до 1917,САО,помещение,,310 000 руб.
111,"Продажа здания 1254 кв.м. СВАО проезд Огородный, 10с6","Продажа здания: под снос, строительство или капитальный ремонт.- расположено между выходом из м. «Бутырская» и ж/д станцией «Останкино»- возможное использование: торговое, ресторан, офис, гостиница, автоцентр- комплекс из двух зданий площадью 1 254 кв.м. (1 032 кв.м + 222 кв.м)- собственная территория: 0,7 Га- возможна реконструкция по проекту покупателя.Торг.",95 000,1254.00 м2,Продажа,Бутырская,1,2016,СВАО,здание,1 мин.,
112,"Продажа помещения 339 кв.м. ЮВАО ул. Южнопортовая, 18","10 метров от выхода из метро-в прямой видимости-первые современные и форматные торговые помещения от метро в капитальном доме. Сверхинтенсивный пешеходный трафик на входе/выходе из метро-до 5 500 чел./час в часы-пик; 1я линия домов, отличная пешеходная и транспортная доступность Высокий рекламный потенциал, места для размещения вывесок, прямая видимость от выходов из метро и с остановок общественного транспорта.Место под веранду/террасу перед фасадом дома у помещения до 150 м2.   Имеются места под вытяжку для ресторана-возможна организация Любое свободное использование—ограничений и обременений нет, возможен круглосуточный режим работы-«24 часа».Свободная и бесплатная парковка вдоль фасада дома, а также рядом с метро и на прилегающих улицах - вдоль проезжих частей дорог.Отдельная входная группа с фасада и со двора дома, запасной вход на 2-й этаж, планировка-открытая (свободная), высота потолков (h)-3,3м, перекрытия-железобетонные, стены—кирпичные Помещения после полного капитального ремонта с заменой всех инженерных коммуникаций и сетей (отопление, водоснабжение, водоотведение, электросеть и др.). Новые витрины, витринные окна, входные группы; каждый блок оборудован своим санузлом и приборами учёта электричества; помещения подготовлены под чистовую отделкуВсе центральные городские коммуникации + газ в доме, электричество—119кВт, можно увеличить количество кВт-по запросу",557 522,339.00 м2,Продажа,Кожуховская,1,до 1917,ЮВАО,помещение,,
113,"Продажа помещения 777.70 кв.м. ЦАО ул. Краснопролетарская, 7","Отдельная входная группа с фасада– с 1-й линии, запасной второй вход со стороны двора дома-удобный подъезд для погрузочно-разгрузочных работ.  Планировка-свободная.. Все городские коммуникации, перекрытия—ж/б. Электричество—достаточное количество под любой вид деятельности—по запросу. Дом НЕ является памятником.Любое свободное использование-ограничений и обременений нет.Хороший пешеходный трафик по Краснопролетарской ул. Высокий рекламный потенциал, возможность размещения вывесок на фасадах. Своя большая парковка для автомобилей перед фасадом. Продажа – схема сделки – ДКПН (договор купли-продажи недвижимости). Все документы готовы к сделке.",386 602,777.70 м2,Продажа,Новослободская,1,1999,ЦАО,помещение,7 мин.,
114,"Продажа помещения 59.60 кв.м. САО проезд Огородный, 10","Торговое помещение в составе нового торгового центра. - потолки 5,5 м. - второе помещение от центрального входа  На схеме помещение номер 2.",275 990,59.60 м2,Продажа,Бутырская,1,2016,САО,помещение,,
115,"Продажа помещения 39.20 кв.м. ЦАО ул. Пресненский Вал, 4/29","Готовый арендный бизнес.Арендатор Сетевой магазин морепродуктов РыбсетьПредлагается помещение свободного назначения, рядом с выходом из станции метро Улица 1905 года. Рядом с помещением развитая инфраструктура, сложившееся торговое окружение.Год постройки: 1960Перекрытия: железобетонныеВысота потолков: 2,80 мВитриныСанузел: 1Вход: 1 отдельный с фасада",1 836 735,39.20 м2,Продажа,Улица 1905 года,1,1960,ЦАО,помещение,,600 000 руб.
116,"Продажа помещения 165 кв.м. САО проезд Огородный, 10",СТРИТ РИТЕЙЛ! Отдельный вход с улицы рядом с метро.Отличное предложение для инвесторов!Торговое помещение  в новом торговом центре рядом с метро. Помещение расположено в центральной галерее и имеет отдельный вход с первой линии Огородного проезда в 20 метрах от метро. .Помещение номер  111 на схеме.,547 897,165.00 м2,Продажа,Бутырская,1,2016,САО,помещение,,
117,"Продажа помещения 237.20 кв.м. ЮАО ул. Лестева, 21/61к1","Арендный бизнес с доходностью 10% - торговый ряд с магазином Мираторг, кафе Фортутти и Мосаптекой. Вся площадь в первом этаже. Детальная информация по телефону. Предложите свою цену.",495 784,237.20 м2,Продажа,Шаболовская,1,до 1917,ЮАО,помещение,,980 000 руб.
118,Закрытая продажа здания 4544.70 кв.м ЦАО,"Предлагается к продаже целиком отдельно стоящее административное здание северной части центра Москвы, в пешей доступности станции метро Марьина Роща.Современное семиэтажное строение с новыми инженерными системами и коммуникациями. Общая площадь помещений 4659 кв.м, смешанная планировка. Центральное кондиционирование и приточно-вытяжная вентиляция, видеонаблюдение. Три лифта. Все помещения с ремонтом, состояние после выезда арендатора.Есть выделенная зона VIP для руководства с отдельным лифтом. Зал для переговоров, зимний сад. Подземный паркинг. Охраняемая огороженная территория. ИФНС 15. ДКП, собственник. Обременения нет, документы готовы к сделке.",396 066,4544.70 м2,Закрытая продажа,,1,1998,ЦАО,здание,5 мин.,
119,Закрытая продажа здания 9800 кв.м ЦАО,"ЗАКРЫТАЯ ПРОДАЖА! Торговый центр спроектирован по принципу мультиформата, что позволяет удобно зонировать территории ТЦ, как на средние, так и большие помещения, гармонично совмещать на одной площадке различные торговые и сервисные форматы.",189 000,9800.00 м2,Закрытая продажа,,1,2015,ЦАО,здание,,
120,"Продажа помещения 102.50 кв.м. ЦАО пер. Старомонетный, 12","Предлагается блок102,5 м2. Витрины выходят на Старомонетный переулок. Всего в продаже 5 блоков.Каждый блок оборудован отдельным входом и витриной со стороны улицы.Основные характеристики помещений:Высота потолков:3,2 -3,5 мРазмер витрин: Старомонетный пер.: высота –3,3 м; ширина –1,1 мул. Б. Полянка: высота –3,7 м; ширина –2,4 мВарианты использования:«стрит ритейл», сфера услуг.  Состояние отделки: Shell & CoreПередача помещений: март 2018.  Текущий статус: реконструкция здания.  Срок завершения:июль 2018",650 000,102.50 м2,Продажа,Полянка,1,2016,ЦАО,помещение,3 мин.,
121,"Продажа помещения 237.90 кв.м. ЦАО ул. Большая Полянка, 7/10 стр 1","Половина  шестого этажа представительского особняка, свободного назначения (ПСН) площадью.  Новый  Деловой центр «Полянка 7». Презентабельная входная группа . Помещение с новой внутренней отделкой после ремонта; полностью готово к въезду. Высококачественная отделка мест и зон общего пользования. Презентабельная входная группа, холл и зона ресепшн. Высокий рекламный потенциал и возможности размещения рекламных вывесок на фасаде центра.",300 000,237.90 м2,Продажа,Полянка,6,до 1917,ЦАО,помещение,4 мин.,
122,"Продажа помещения 100.10 кв.м. ЦАО ул. Серпуховский Вал, 3 к 1","Street-retail-помещения торгового или свободного назначения блок 100,1 м2 на 1-м этаже жилого многоэтажного кирпичного дома 1980 года постройки.Арендатор - МТС Банк. Долгосрочный договор аренды, арендная плата 600 000 рублей в месяц, УСН, коммунальные платежи и электричество оплачиваются арендатором отдельно Схема сделки: договор купли-продажи недвижимости (ДКПН)Планировка — зальная. Полный капитальный ремонт—новое состояние. Все центральные городские коммуникации. Электричество — 18 кВт (возможно увеличение). Помещения подготовлены под чистовую отделкуРазрешённая парковка перед фасадом вдоль дороги.Любое свободное использование–ограничений нет.Возможен круглосуточный режим работы-«24 часа».Отдельные входы в помещения с фасада и со двора. Высокий рекламный потенциал, места под вывески .",718 282,100.10 м2,Продажа,Тульская,1,1980,ЦАО,помещение,3 мин.,600 000 руб.
123,"Продажа помещения 103.50 кв.м. ЦАО ул. Серпуховский Вал, 3 к 1","Street-retail-помещения торгового или свободного назначения блок 103,5  м2 на 1-м этаже жилого многоэтажного кирпичного дома 1980 года постройки.Сертифицированное помещение под банковскую деятельность. Помещение сдано в аренду ПАО «Московский Кредитный Банк» до 30.03.2022г. МАП 750 000 руб/мес. Индексация 7%Планировка — зальная. Полный капитальный ремонт—новое состояние. Все центральные городские коммуникации. Электричество — 18 кВт (возможно увеличение). Помещения подготовлены под чистовую отделкуРазрешённая парковка перед фасадом вдоль дороги.Любое свободное использование–ограничений нет.Возможен круглосуточный режим работы-«24 часа».Отдельные входы в помещения с фасада и со двора. Высокий рекламный потенциал, места под вывески .",869 565,103.50 м2,Продажа,Тульская,1,1980,ЦАО,помещение,3 мин.,750 000 руб.
124,"Продажа здания 1285 кв.м. ЮАО ул. Дербеневская, 24с4","Продается нежилое здание. В здании 2 этажа и эксплуатируемая мансарда. Общая площадь 1285,1 кв. м. Территория охраняемая, имеется КПП. В 2013г. сделан капитальный ремонт, проведены все коммуникации. Закреплена электрическая (108,7 кВт) и тепловая (346,4 кВт) мощность. Долгосрочный договор аренды земельного участка на 49 лет. Используется как гостиница эконом-класса. Возможно увеличение арендного потока.  КДА на 11 мес.",108 949,1285.00 м2,Продажа,Павелецкая,1,1917,ЮАО,здание,20 мин.,1 200 000 руб.
125,"Продажа помещения 540 кв.м. ЦАО ул. Большая Полянка, 7/10 стр 1","5-й этаж представительского особняка, свободного назначения (ПСН) площадью . МАП 2 007 757 руб. Арендатор - крупная нефтяная компания. Индексация 10%.  Новый  Деловой центр «Полянка 7». Презентабельная входная группа . Помещение с новой внутренней отделкой после ремонта; полностью готово к въезду. Высококачественная отделка мест и зон общего пользования. Презентабельная входная группа, холл и зона ресепшн. Высокий рекламный потенциал и возможности размещения рекламных вывесок на фасаде центра.",300 000,540.00 м2,Продажа,Полянка,2,до 1917,ЦАО,помещение,4 мин.,
126,"Продажа помещения 1060 кв.м. ЦАО ул. Большая Полянка, 7/10 стр 1","5-й и 6-й  этажи представительского особняка, свободного назначения (ПСН) площадью.  Новый  Деловой центр «Полянка 7». Презентабельная входная группа . Помещение с новой внутренней отделкой после ремонта; полностью готово к въезду. Высококачественная отделка мест и зон общего пользования. Презентабельная входная группа, холл и зона ресепшн. Высокий рекламный потенциал и возможности размещения рекламных вывесок на фасаде центра.",300 000,1060.00 м2,Продажа,Полянка,6,до 1917,ЦАО,помещение,4 мин.,
127,"Продажа помещения 30.50 кв.м. САО ул. Проспект Мира, 112","ПРЕДЛАГАЕТСЯ ПРОДАЖА ПОМЕЩЕНИЯ С ДЕЙСТВУЮЩИМ АРЕНДАТОРОМ.Помещение после полного капитального ремонта с заменой всех коммуникаций. Блок со своим санузлом и приборами учета электричества. Отдельная входная группа с фасада. Помещение с внутренней отделкой от арендатора. Сверхинтенсивный пешеходный трафик: вдоль фасада дома— до 2 500 чел./час, на другой стороне проспекта до 1500 чел./час.Арендатор - сетевой цветочный магазин «Миллион цветов», ДДА - 3 года. МАП 300 000 руб.",1 239 344,30.50 м2,Продажа,Алексеевская,1,1957,САО,помещение,1 мин.,300 000 руб.
128,Закрытая продажа помещения 366.80 кв.м ЮВАО,"ЗАКРЫТАЯ ПРОДАЖА! Арендный бизнес , Арендатор Пятерочка.сетевой универсам. Заключен долгосрочный договор аренды с индексацией. Только первый этаж. Детальная информация по запросу.Дом идет под программу реновации по второй программе сноса (через 10 лет).",133 588,366.80 м2,Закрытая продажа,,1,1960,ЮВАО,помещение,,500 000 руб.
129,"Продажа помещения 234 кв.м. САО ул. Ямского Поля 1-я, 9","Отличное торговое помещение под любой вид деятельности. Расположено в торговой галерее элитного жилого комплекса. Вход свободный со стороны  3-й улицы Ямского поля. Возможность размещения наружной рекламы. Помещение, расположенное на цокольном и первом этажах. Первый этаж (55 м2) и цоколь (179 м2) .  Две входные группы. Витринные панорамные окна, второй свет. В цоколе есть окно. Высокие потолки. Можно разделить на два отдельных блока. Все коммуникации, вытяжка.  Без отделки. Комплекс заселен, ритейл активно функционирует.",235 000,234.00 м2,Продажа,Белорусская,1,2015,САО,помещение,5 мин.,
130,"Продажа помещения 123 кв.м. ЦАО ул. Красносельская Нижн., 35 стр. 9","Готовый арендный бизнес в офисном центре MANHATTAN.Арендатор - студия маникюра. Cрок аренды – 5 летЕжегодная индексация – 10%Доходность – 12,5% Окупаемость – 8 лет Эксплуатационные и коммунальные расходы оплачивает арендатор",450 000,123.00 м2,Продажа,Бауманская,1,2016,ЦАО,помещение,3 мин.,410 000 руб.
131,"Продажа помещения 185 кв.м. ВАО ул. Большая Семёновская, 45","Магазин,торговые помещения, медицинский центр,помещения свободного назначения. Входы  с первой линии и с торца здания. Витрины и вход с первой линии. Возможно разделение на блоки по 70 кв.м.  Помещение на первом этаже административного здания. Своя парковка . Первая линия домов, оживленный автомобильный трафик. Состояние объекта: после ремонта.",323 243,185.00 м2,Продажа,Семеновская,1,1975,ВАО,помещение,5 мин.,
132,"Продажа помещения 84.20 кв.м. ВАО ул. Большая Черкизовская, 5к1","Продаётся готовый арендный бизнес. Надёжный арендатор -сетевая кондитерская ""Добрынинский и партнёры"". Долгосрочный договор аренды до 2022 года, индексация- 8%. МАП-432 000 руб. Мощность 30 кВт. Витринные окна,интенсивный пешеходный и авто трафик. Разумная окупаемость.",783 848,84.20 м2,Продажа,Преображенская площадь,1,1965,ВАО,помещение,,432 000 руб.
133,"Продажа помещения 45.10 кв.м. ЮВАО ш. Энтузиастов, 24/43","Street-retail – помещение торгового или свободного назначения.  Отдельный вход в каждое помещение с фасада непосредственно у 2-х выходов из станции метро «Авиамоторная», 1-5 м. до перехода. Планировка – свободная, внешние стены капитальные. Высота потолков (h) - 3,5 м. Свободная парковка вдоль фасада здания и проезжей части дороги.Перекрытия - железобетон. Дом НЕ является памятником.",1 543 237,45.10 м2,Продажа,Авиамоторная,1,1940,ЮВАО,помещение,1 мин.,580 000 руб.
134,"Продажа помещения 35.10 кв.м. ЦАО ул. Пятницкая, 31/2 стр 3","Одно из уникальных предложений в ЦАО! Шаговая доступность от метро ""Новокузнецкая"" и ""Третьяковская"". Шикарные видовые характеристики. Реклама на фасаде. Мега-трафик.Отдельно стоящее здание после полного капитального ремонта с заменой всех инженерных коммуникаций. Свободное использование, ограничений и обременений нет, НЕ ПАМЯТНИК.Отдельный вход в помещение с фасада и со двора. Огромные окна-витрины. Высокие потолки. Зальная планировка. Мокрая точка в помещении.Арендатор - Natura Siberica - сеть магазинов органической и натуральной косметики. Долгосрочный договор аренды, текущий годовой арендный поток - 9 649 800 руб. (УСН), месячная арендная плата - 804 150 руб., индексация 10%. Коммунальные услуги оплачиваются арендатором отдельно.Документы готовы к сделке.",2 749 288,35.10 м2,Продажа,Новокузнецкая,1,2016,ЦАО,помещение,1 мин.,804 150 руб.
135,"Продажа помещения 1542 кв.м. СВАО ул. Заповедная, 16к2","Предлагается на продажу помещение  общей площадью 1542 м2. Из них  763 м2  на первом этаже (арендатор  -супермаркет ""Верный"", 779 м2 - чистый, светлый, отремонтированный подвал с потолками 4м.(площадь вакантна и предлагается в аренду).  Помещение расположено на первой линии крупного жилого массива с 17-25 этажными домами, на перекрестке улиц Заповедная и Полярная, напротив остановки общественного транспорта, имеет отличный  рекламный потенциал. 1С супермаркетом  Верный,  заключен договор на 7 лет с 2018 года, арендная плата 500 тыс. рублей.Потенциальная арендная плата  за подвал - 400 000 руб.",63 000,1542.00 м2,Продажа,Свиблово,1,2011,СВАО,помещение,,500 000 руб.
136,Закрытая продажа помещения 145 кв.м ЦАО,"ЗАКРЫТАЯ ПРОДАЖА! Торговое помещение с отдельным входом и витринами на  первую линию Бутиковского переулка. Две входные группы, открытая планировка. Арендатор- бутик элитной мужской одежды. ГАП 6 000 000 руб. Подробная информация по запросу. Торг.",675 862,145.00 м2,Закрытая продажа,,1,2003,ЦАО,помещение,7 мин.,500 000 руб.
137,"Продажа помещения 229.30 кв.м. СЗАО ул. Старопетровский, 1","Продажа ресторана 229,3 кв.метра с сетевым арендатором «ЭТАЖ»- средний месячный арендный поток – 1 285 785 руб- договор аренды на 5 лет- чистая окупаемость арендного бизнеса – 7,6 годаНа площади 14 626,8 м2 расположены  153 магазина с  товарами для детей и родителей, детский образовательный центр, развлекательный центр для детей с аттракционами и 4D-кинотеатром, а также зона фудкорта.Якорные арендаторы- супермаркет ДА, Сбербанк, Макдональдс, ресторан ЭТАЖ и др..",429 568,229.30 м2,Продажа,Войковская,1,2016,СЗАО,помещение,10 мин.,1 285 785 руб.
138,"Продажа помещения 36.20 кв.м. ЦАО ул. Пятницкая, 31/2 стр 5","36  кв.м , вся площадь на 1-м этаже   Отдельный вход в каждое помещение с фасада и со двора. Новые большие витрины. Входные группы из стекла.Помещение сдано в  аренду . Арендатор Natura Siberica - сеть магазинов органической и натуральной косметики.  ДДА на 5 лет. Окупаемость 10 лет без учета индексации. Индексация 10%. УСНО, К/у арендатор оплачивает самостоятельно.  Планировка — свободная — сетка колонн, перекрытия—ж/б, стены-кирпич. Все новые центральные инженерные коммуникации. Высота потолков-3,2 м. ОСЗ после полного капитального ремонта с заменой сетей. Любое использование.  Объект капитального строительства. Сносу не подлежит.",2 748 619,36.20 м2,Продажа,Новокузнецкая,1,2016,ЦАО,помещение,1 мин.,830 000 руб.
139,Закрытая продажа помещения 175 кв.м ЦАО,ЗАКРЫТАЯ ПРОДАЖА! Торговое помещение с новым ремонтом и отдельным входом с  первой линии Бутиковского переулка. Витринные окна выходят в сторону жилого дома и двух деловых центров. Помещение сдано в аренду. МАП 510 000 руб.,591 497,175.00 м2,Закрытая продажа,,1,2003,ЦАО,помещение,7 мин.,510 000 руб.
140,"Продажа здания 455 кв.м. ЦАО пер. Каретный Б., 22с1","Отдельно стоящее двух этажное здание  площадью 455 кв м с возможностью увеличения до 700 кв м .Расположено внутри Садового кольца, на первой линии Б. Каретного пер. Район высокой деловой активности, солидное окружение. Удобное расположение. Пешая доступность от станций метро Цветной бульвар, Трубная, Чеховская. Собственная парковка (земельный участок 595 м2 в собственности).Здание отдаем по договору купли-продажи с городом (сумма обозначена в самом договоре, входит и здание и участок земли под зданием +  4 машиноместа) плюс 9 млн руб за переуступку.",263 736,455.00 м2,Продажа,Цветной бульвар,1,до 1917,ЦАО,здание,3 мин.,
141,"Продажа помещения 573.60 кв.м. ЦАО б-р Сретенский, 6/1стр2","Возможность размещения рекламы на фасаде здания. Наземная парковка. Полностью оборудовано под ресторан. Планировка: залы оборудованы аппаратурой (жидкокристаллические телевизоры, проигрыватели, усилители, колонки, кинопроектор). В одном из залов имеется концертная площадка, пригодная для  выступления музыкальных групп, с фортепиано, ударной установкой, музыкальным аппаратом. Бар, большая кухня, разгрузочное помещение, прочие подсобные помещения. Два отдельных банкетных зала (с мебелью). Два общих больших зала (с мебелью).",217 922,573.60 м2,Продажа,Тургеневская,цокольный,до 1917,ЦАО,помещение,1 мин.,
142,"Продажа помещения 166 кв.м. ВАО ул. Б.Черкизовская, 5к1","Продаётся готовый арендный бизнес.Надёжный арендатор - сетевой магазин. Долгосрочный договор аренды, индексация. Витринные окна,интенсивный пешеходный и авто трафик.",753 012,166.00 м2,Продажа,Преображенская площадь,1,1965,ВАО,помещение,,600 000 руб.
143,"Продажа помещения 97 кв.м. ЗАО пр-кт Кутузовский, 36а","Арендный бизнес с доходностью 11%. Заключен долгосрочный договор аренды на 7 лет с индексацией. Арендатор - химчистка Бианка. ГАП 12 000 000 руб.Вся площадь на первом этаже. Первая линия кутузовского проспекта, витрины, отличная видимость. Интенсивный автомобильный и пешеходный трафик.",1 360 825,97.00 м2,Продажа,Кутузовская,1,1986,ЗАО,помещение,,1 000 000 руб.
144,"Продажа помещения 565.50 кв.м. ЦАО ул. Садовническая, 57 стр1","Отличное предложение! В продаже осталось одно помещение!ТОРГОВОЕ ПОМЕЩЕНИЕ 1 (на схеме) В СОСТАВЕ ЭЛИТНОГО КОМПЛЕКСА «Wine House». Помещение трехуровневое, с шахтой для  лифта.Маленький подвал,  первый этаж и антресоль. Потолки 5 м, панорамное остекление, очень красивое помещение. Можно разделить на два автономных блока. Открытая планировка, отдельные входы. Комплекс веден в эксплуатацию, заселен.  Первая линия. Низкий уровень конкуренции со стороны коммерческих площадей; Удобная планировка помещений.Отлично подойдет под торговлю, медицинский центр, фитнес студию, ресторан, кафе и т.д. Ограничений по виду использования нет.",259 000,565.50 м2,Продажа,Новокузнецкая,1,2016,ЦАО,помещение,10 мин.,
