,name,description,price,area,type,subway,floor,year,region,object,dist,lease_amount
10,"Продажа здания 1850 кв.м. ЦАО пер. Харитоньевский Б., 10/1","Продажа особняка после ремонта в историческом центре Москвы, 5 минут пешком от 3-х станций метро: Чистые пруды, Тургеневская и Красные ворота. Общая площадь 1850 кв.м, 3 этажа, смешанная планировка, высокие потолки 3-3,85м, большие окна. В 2013 году полностью заменена кровля со стропильной системой, в 2015 году выполнен ремонт фасада.Земельный участок под зданием 640 кв. м. в аренде до 02.12.2062 года + придомовая территория площадью 220 кв.м. Парковка на 10 машиномест.",294 595,1850.00 м2,Продажа,Чистые пруды,1,до 1917,ЦАО,здание,,
11,"Продажа здания 5713 кв.м. САО ш. Ленинградское, 47А","Надежный, высокодоходный арендный бизнес, чистая годовая доходность 12 % ! Встроенное помещение в МФК класса А+, 5800 кв. м., на Ленинградском шоссе, первая линия домов. Сетевой арендатор, долгосрочный договор аренды - 10 лет. Высокий уровень инженерии, высота потолков - 6 м, собственная парковка. Прямые договоры с коммунальными службами города Москвы. Электрическая мощность 1600кВт. Высокий рекламный потенциал и автомобильный трафик. Аренда земли сроком 49 лет.",129 529,5713.00 м2,Продажа,Водный стадион,1,2000,САО,здание,,7 000 000 руб.
12,Закрытая продажа помещения 348.30 кв.м ЦАО,"Арендный Бизнес в ЦАО . Выгодная планировка для деления на блоки.  Арендный поток 2400 000 руб. в месяц. ежегодная индексация 10% сроки аренды до 31.03. 2023 года.Помещение в частной собственности юридического лица. Сделан кап. ремонт с гидроизоляцией,согласована веранда.1-й этаж 177,7 м2,. цоколь 170,6 м2. Земля в аренде на 49 лет.Летняя веранда работает.Детальная информация по телефону.Предложите свою цену!",826 873,348.30 м2,Закрытая продажа,,1,до 1917,ЦАО,помещение,,2 400 000 руб.
13,"Продажа здания 591 кв.м. ЦАО ул. Большая Полянка, 63 стр 1","Особняк на первой линии домов. Проходное и проездное место. Район высокой деловой активности. Рестораны, банки, посольство Аргентины, университет, театр. Этажность: 2 этажа + мансарда + подвал. В здании установлено всё банковское оборудование - депозитарий, кассовые узлы, банковское хранилище. Год постройки 1884 г., реставрация 2003 г. Собственная парковка на 18 машин .",634 518,591.00 м2,Продажа,Полянка,2,до 1917,ЦАО,здание,10 мин.,
14,Закрытая продажа помещения 130 кв.м ЦАО,"Продается  особняк , находится в двух минутах ходьбы от станции метро Цветной бульвар . 2-х этажное нежилое здание. Отдельный вход, запасной вход со двора. Высота потолков - 3 метра. Есть возможность увеличить этажность. Отличный ремонт.  Наземная парковка на 10 м/м .  В данный момент помещение занимает медицинский цент (пластическая хирургия).",730 769,130.00 м2,Закрытая продажа,,1,до 1917,ЦАО,помещение,,
15,"Продажа здания 909 кв.м. СВАО пер. Перуновский, 3с2","Предлагается в продажу современное здание площадью 909 кв. м. с качественной инженерией и большой огороженной территорией. В здании выполнен качественный ремонт. Перекрытия железобетонные, Приточно-вытяжная вентиляция и центральное кондиционирование.Парковка на 25 машиномест. Земельный участок 0,2 Га в долгосрочной аренде. Возможно использование под офис, посольство, представительство.",407 041,909.00 м2,Продажа,Менделеевская,1,1917,СВАО,здание,7 мин.,
16,"Продажа помещения 30 кв.м. ЮЗАО ул. Новочерёмушкинская, 58","Помещение стрит ритейл на первом этаже комплекса апартаментов  на углу улиц Новочеремушкинской и Гарибальди. Помещение на первой линии домов. Зальная планировка, помещение правильной п формы. Большие витринные окна. Подключены все коммуникации - горячее и холодное водоснабжение, отопление, канализация. Паркинг наземный.От выхода из станции метро «Новые Черемушки» 600 метров. Целиком комплекс будет готов в первом квартале 2018 года. Возможен долгосрочный договор, помещения выделено по кадастру.",698 333,30.00 м2,Продажа,Новые черемушки,1,2018,ЮЗАО,помещение,5 мин.,
17,"Продажа здания 572.30 кв.м. ЦАО ул. Новокузнецкая, 29с1","Продается 2х этажное здание, находящееся на первой линии Новокузнецкой улицы. 7 соток, с отдельным паркингом огражден шлагбаумом.Помещения в данный момент сдаются по офисы, имеется подвальное помещение 70м2, система пожаротушения, сигнализация, горячая холодная вода, телефония, интернет все подведенно и готово к эксплуатации.Отличная транспортная и пешеходная доступность, 400 метров от метро Павелецкая, 100 метров от остановки.",192 207,572.30 м2,Продажа,Павелецкая,1,до 1917,ЦАО,здание,5 мин.,
18,"Продажа здания 3842 кв.м. ЦАО ул. Пятницкая, 70/41","Исторический центр Москвы, Замоскворечье. Здание 1 - 4-этажное административно-офисное кирпичное здание общей площадью 1858,7 кв.м. Система видеонаблюдения и сигнализации. Здание 2 - общая площадь 628,0 кв.м. Примыкает к зданию 1 и соединено с ним переходом на 2-м этаже. Возведено в 1994 году. Здание 3 - 2-этажное строение общей площадью 770,4 кв. м, примыкающее к 1-му зданию и соединенному с ним переходом на 1-м и 2-м этажах. Имеется отдельный вход. Имеется парковочный двор. Возведено в 1993 году. Нежилое помещение на ул. М.Ордынка, 50/72, стр.2- 2х этажное здание с подвалом и мансардой, общей площадью 585 кв.м. Первая линия домов. Активный пешеходный и автомобильный трафик. Шаговая доступность 3-х станций метро.",111 921,3842.00 м2,Продажа,Добрынинская,1,до 1917,ЦАО,здание,2 мин.,
19,Закрытая продажа помещения 68.20 кв.м ЗАО,"Торговое помещение, стрит ритейл в составе нового ЖК премиум класса. Расположен на первой линии .Общее кол-во апартаментов 1609 шт • Удобная транспортная доступность: выезд на Кутузовский проспект и ТТК, 20 минут до центра, в шаговой доступности ст. метро Парк Победы и Багратионовская.• Густонаселенный жилой массив • Ввод объекта 4 квартал 2019 года  В продаже есть другие  площади  - от 68 до 200 кв.м, так же возможность объединения нескольких блоков + автомойка . Характеристики помещений:• Отдельные входные группы• Свободная планировка• Свободный доступ с улицы• Панорамное остекление, в том числе и во внутренний двор• Высота потолков от 4 до 5,2 м• Выделенная мощность 200-300 Вт/м2, возможность увеличения• Индивидуальное кондиционирование и вентиляция• Помещения свободного назначения, и могут использоваться под магазин/кафе/салон красоты/мед центр/офис и прочее.",340 000,68.20 м2,Закрытая продажа,,,Нет,ЗАО,помещение,3 мин.,
